id_cliente,nombre,sexo,fecha_nacimiento,distrito,fecha_alta,segmento_programa
1,Albano Llopis Hierro,M,1962-05-05,Callao,2022-03-01,Oro
2,Berta Calatayud Bonet,F,1976-08-30,Magdalena,2023-11-03,Bronce
3,Ileana Alejandra Andrés Bueno,F,1978-01-02,Lince,2025-10-16,Oro
4,Cruz Vazquez Amor,F,1998-03-08,Barranco,2021-02-08,Plata
5,Conrado Rivas-Giménez,M,1995-08-18,Callao,2021-03-22,Plata
6,Macario Del Agudo,M,1957-03-22,Jesús María,2024-12-04,Bronce
7,Paco Rocamora Nieto,M,2006-11-29,Santiago De Surco,2022-11-03,Plata
8,Calixta Garrido Navarro,F,1960-02-21,Los Olivos,2024-12-04,Oro
9,Araceli Pinto Caballero,F,1963-06-15,San Borja,2021-10-05,Bronce
10,Soraya Núñez Lamas,F,1958-12-20,Barranco,2022-08-12,Plata
11,Pánfilo Segovia Casanovas,M,1985-12-09,Lince,2021-04-18,Bronce
12,Ani Marcos,F,1995-07-29,San Borja,2024-11-03,Oro
13,Vicenta Tere Pardo Fernandez,F,1988-07-28,Los Olivos,2022-06-18,Plata
14,Alonso Goñi Mancebo,M,2000-11-18,Chorrillos,2022-05-13,Oro
15,Teófilo Guerrero Cabrero,M,1987-05-01,Surco,2021-10-18,Bronce
16,Emilio Santana,M,1963-12-27,San Borja,2021-12-06,Bronce
17,Ceferino Pellicer Padilla,M,1972-09-11,San Borja,2022-09-27,Bronce
18,Nazaret Lasa Bellido,F,1958-01-25,Pueblo Libre,2025-08-07,Bronce
19,Maximino Che Hierro Cárdenas,M,1956-11-11,Chorrillos,2024-03-28,Bronce
20,Goyo Del Gimenez,M,2006-07-01,Surco,2025-10-26,Plata
21,Soledad Barba Grande,F,2000-02-08,Jesús María,2021-05-09,Bronce
22,Samuel Moles Quero,M,1973-05-27,Villa El Salvador,2025-05-02,Plata
23,Anacleto Galván Miranda,M,1995-05-17,Magdalena,2025-01-08,Bronce
24,Nacio Valera Priego,M,1971-08-01,Los Olivos,2021-08-23,Plata
25,Calixto Del Chaparro,M,1992-07-15,Jesús María,2024-04-26,Plata
26,Petrona Jódar Romero,F,2007-10-22,Magdalena,2025-03-20,Plata
