id_cliente,nombre,segmento_programa,distrito,antiguedad_dias,frecuencia_compras,monto_acumulado,recencia_dias,abandono_historico,probabilidad_abandono,prediccion_abandono,nivel_riesgo,modelo_usado
2731,Vicenta Ribes-Cifuentes,Platino,Pueblo Libre,1146,0.0,0.0,1146.0,1,0.9916,1,Alto,Random Forest
3948,Pilar Sedano Bernat,Platino,Chorrillos,1178,0.0,0.0,1178.0,1,0.9912,1,Alto,Random Forest
4396,Saturnina Del Silva,Bronce,San Miguel,708,0.0,0.0,708.0,1,0.9909,1,Alto,Random Forest
3171,Ani Eliana Miralles Baró,Bronce,San Miguel,1354,0.0,0.0,1354.0,1,0.9909,1,Alto,Random Forest
4176,Adelina Peral,Platino,San Isidro,281,0.0,0.0,281.0,1,0.9907,1,Alto,Random Forest
4140,Primitiva Cabañas,Bronce,San Miguel,1577,0.0,0.0,1577.0,1,0.9905,1,Alto,Random Forest
1510,Lupita Priego-Ariza,Bronce,San Miguel,344,0.0,0.0,344.0,1,0.9905,1,Alto,Random Forest
1591,Clarisa Ordóñez Montalbán,Bronce,Barranco,1283,0.0,0.0,1283.0,1,0.9903,1,Alto,Random Forest
3833,Cecilia Del Arnaiz,Platino,San Isidro,1618,0.0,0.0,1618.0,1,0.99,1,Alto,Random Forest
2199,Brígida Del Borrell,Bronce,Pueblo Libre,911,0.0,0.0,911.0,1,0.9899,1,Alto,Random Forest
3034,Victoriano Jurado Matas,Platino,La Molina,985,0.0,0.0,985.0,1,0.9899,1,Alto,Random Forest
1420,Ángeles Izquierdo-Palomino,Plata,Chorrillos,1617,0.0,0.0,1617.0,1,0.9897,1,Alto,Random Forest
612,María Luisa Alcázar,Plata,Lince,197,0.0,0.0,197.0,1,0.9897,1,Alto,Random Forest
4990,Luisina Álvarez Padilla,Plata,Barranco,567,0.0,0.0,567.0,1,0.9896,1,Alto,Random Forest
3029,Natalia Cortina-Boix,Plata,La Molina,990,0.0,0.0,990.0,1,0.9896,1,Alto,Random Forest
1028,Roberta De Castilla,Platino,Pueblo Libre,1764,0.0,0.0,1764.0,1,0.9896,1,Alto,Random Forest
93,Magdalena Araujo Peiró,Platino,Villa El Salvador,985,0.0,0.0,985.0,1,0.9895,1,Alto,Random Forest
4535,Sarita Gallart Figueroa,Platino,Surco,563,0.0,0.0,563.0,1,0.9895,1,Alto,Random Forest
4561,Inmaculada Trujillo Fuertes,Plata,La Molina,1673,0.0,0.0,1673.0,1,0.9894,1,Alto,Random Forest
1445,Anselma Pujadas Valls,Plata,Lince,1679,0.0,0.0,1679.0,1,0.9894,1,Alto,Random Forest
4177,Lina Albero Capdevila,Bronce,Barranco,855,0.0,0.0,855.0,1,0.9894,1,Alto,Random Forest
489,Josefa Del Castellanos,Platino,Magdalena,1174,0.0,0.0,1174.0,1,0.9893,1,Alto,Random Forest
4339,Hilario Pulido Rius,Platino,Chorrillos,1527,0.0,0.0,1527.0,1,0.9893,1,Alto,Random Forest
3598,Imelda Pozuelo Rincón,Bronce,Pueblo Libre,1387,0.0,0.0,1387.0,1,0.9892,1,Alto,Random Forest
2105,Jovita De Sancho,Platino,San Isidro,901,0.0,0.0,901.0,1,0.9892,1,Alto,Random Forest
256,Petrona Suárez Piquer,Bronce,Barranco,1144,0.0,0.0,1144.0,1,0.9891,1,Alto,Random Forest
2840,Arturo Romero Nogués,Platino,Los Olivos,1043,0.0,0.0,1043.0,1,0.9891,1,Alto,Random Forest
534,Emperatriz Juanita Alegria Pedrosa,Bronce,Lince,1269,0.0,0.0,1269.0,1,0.989,1,Alto,Random Forest
4994,María Dolores Quevedo Crespi,Platino,San Borja,322,0.0,0.0,322.0,1,0.989,1,Alto,Random Forest
3231,Elodia Daza Carrasco,Bronce,Santiago De Surco,193,0.0,0.0,193.0,1,0.9889,1,Alto,Random Forest
4270,José Rocha-Diez,Bronce,Pueblo Libre,1381,0.0,0.0,1381.0,1,0.9889,1,Alto,Random Forest
341,Elvira Miguel Ortiz,Bronce,Santiago De Surco,754,0.0,0.0,754.0,1,0.9889,1,Alto,Random Forest
812,Rita Heras Uría,Platino,San Miguel,1683,0.0,0.0,1683.0,1,0.9889,1,Alto,Random Forest
1218,Ruperta Murillo,Bronce,Santiago De Surco,670,0.0,0.0,670.0,1,0.9889,1,Alto,Random Forest
3892,Abril Barragán,Bronce,Santiago De Surco,934,0.0,0.0,934.0,1,0.9889,1,Alto,Random Forest
2476,Regina Bru Planas,Platino,Magdalena,1411,0.0,0.0,1411.0,1,0.9888,1,Alto,Random Forest
879,Sergio Pérez Perales,Platino,Lince,221,0.0,0.0,221.0,1,0.9888,1,Alto,Random Forest
2826,Carolina Campoy Puente,Bronce,Chorrillos,641,0.0,0.0,641.0,1,0.9888,1,Alto,Random Forest
870,Camila Mayo Arjona,Platino,San Miguel,792,0.0,0.0,792.0,1,0.9888,1,Alto,Random Forest
2461,Elodia Del Terrón,Plata,Pueblo Libre,395,0.0,0.0,395.0,1,0.9888,1,Alto,Random Forest
928,Modesta Purificación Gomis Cánovas,Bronce,Pueblo Libre,351,0.0,0.0,351.0,1,0.9888,1,Alto,Random Forest
4166,Jordi Aragonés,Platino,La Molina,617,0.0,0.0,617.0,1,0.9888,1,Alto,Random Forest
519,Adelia Campos-Rosa,Bronce,San Miguel,114,0.0,0.0,114.0,1,0.9886,1,Alto,Random Forest
1317,Fernanda Jiménez Núñez,Bronce,San Isidro,484,0.0,0.0,484.0,1,0.9886,1,Alto,Random Forest
2742,Mateo Madrid Olivé,Platino,Los Olivos,448,0.0,0.0,448.0,1,0.9886,1,Alto,Random Forest
1106,Quirino Atienza-Roselló,Platino,Los Olivos,1186,0.0,0.0,1186.0,1,0.9884,1,Alto,Random Forest
2583,Alicia Fabra Cifuentes,Bronce,Los Olivos,689,0.0,0.0,689.0,1,0.9884,1,Alto,Random Forest
3097,Rufina Fernandez-Boix,Platino,Ate,503,0.0,0.0,503.0,1,0.9884,1,Alto,Random Forest
4604,Reyes Castrillo,Platino,La Molina,1567,0.0,0.0,1567.0,1,0.9884,1,Alto,Random Forest
313,Domingo Casas Fuertes,Platino,La Molina,249,0.0,0.0,249.0,1,0.9883,1,Alto,Random Forest
2603,Elba Cabeza-Asensio,Oro,Pueblo Libre,1157,0.0,0.0,1157.0,1,0.9883,1,Alto,Random Forest
3245,Eugenia Crespi Vendrell,Platino,Pueblo Libre,788,0.0,0.0,788.0,1,0.9883,1,Alto,Random Forest
952,Ana Pombo-Yáñez,Bronce,Lince,469,0.0,0.0,469.0,1,0.9883,1,Alto,Random Forest
837,Dominga Calderon Carlos,Bronce,San Isidro,271,0.0,0.0,271.0,1,0.9882,1,Alto,Random Forest
3132,Trinidad Iborra Barberá,Plata,San Isidro,447,0.0,0.0,447.0,1,0.9882,1,Alto,Random Forest
2197,Silvestre De Chacón,Platino,San Isidro,898,0.0,0.0,898.0,1,0.9881,1,Alto,Random Forest
