id_cliente;nombre;sexo;fecha_nacimiento;distrito;fecha_alta;segmento_programa
1;Albano Llopis Hierro;M;1962-05-05;Callao;2022-03-01;Oro
2;Berta Calatayud Bonet;F;1976-08-30;Magdalena;2023-11-03;Bronce
3;Ileana Alejandra Andrés Bueno;F;1978-01-02;Lince;2025-10-16;Oro
4;Cruz Vazquez Amor;F;8 de marzo de 1998;Barranco;08/02/2021;Plata
5;Conrado Rivas-Giménez;M;18/08/1995;Callao;2021-03-22;Plata
6;Macario del Agudo;M;1957-03-22;Jesús María;04/12/2024;Bronce
7;Paco Rocamora Nieto;M;2006-11-29;Santiago de Surco;03/11/2022;Plata
8;Calixta Garrido Navarro;F;1960-02-21;Los Olivos;2024-12-04;Oro
9;Araceli Pinto Caballero;F;15/06/1963;San Borja;05/10/2021;Bronce
10;Soraya Núñez Lamas;F;1958-12-20;Barranco;12 de agosto de 2022;Plata
11;Pánfilo Segovia Casanovas;M;1985-12-09;Lince;18 de abril de 2021;Bronce
12;Ani Marcos;F;29/07/1995;San Borja;2024-11-03;Oro
13;Vicenta Tere Pardo Fernandez;F;1988-07-28;Los Olivos;18 de junio de 2022;Plata
14;Alonso Goñi Mancebo;M;18 de noviembre de 2000;Chorrillos;2022-05-13;Oro
15;Teófilo Guerrero Cabrero;M;1987-05-01;Surco;18/10/2021;Bronce
16;Emilio Santana;M;27/12/1963;San Borja;6 de diciembre de 2021;Bronce
17;Ceferino Pellicer Padilla;M;11/09/1972;San Borja;27/09/2022;Bronce
18;Nazaret Lasa Bellido;F;1958-01-25;Pueblo Libre;07/08/2025;Bronce
19;Maximino Che Hierro Cárdenas;M;11 de noviembre de 1956;Chorrillos;28/03/2024;Bronce
20;Goyo del Gimenez;M;2006-07-01;Surco;2025-10-26;Plata
21;Soledad Barba Grande;F;2000-02-08;Jesús María;09/05/2021;Bronce
22;Samuel Moles Quero;M;27/05/1973;Villa El Salvador;2025-05-02;Plata
23;Anacleto Galván Miranda;M;17/05/1995;Magdalena;8 de enero de 2025;Bronce
24;Nacio Valera Priego;M;1971-08-01;Los Olivos;23 de agosto de 2021;Plata
25;Calixto del Chaparro;M;1992-07-15;Jesús María;26 de abril de 2024;Plata
26;Petrona Jódar Romero;F;2007-10-22;Magdalena;20/03/2025;Plata
